"lon","lat"
7.7,43.7988539094077
7.699889,43.79875
7.69825,43.798778
7.697389,43.797917
7.696528,43.797889
7.69575,43.797083
7.694889,43.797083
7.6945,43.796667
7.694528,43.795833
7.695333,43.794972
7.695278,43.793306
7.694056,43.792111
7.693167,43.792083
7.692417,43.791222
7.69075,43.79125
7.688194,43.788722
7.68575,43.78875
7.684917,43.787889
7.684028,43.787917
7.683278,43.787111
7.682389,43.787111
7.681556,43.78625
7.68075,43.786222
7.680306,43.785833
7.680306,43.785028
7.679861,43.784556
7.679056,43.784556
7.678667,43.784139
7.678583,43.783333
7.678222,43.782944
7.677444,43.782944
7.676972,43.782472
7.677,43.780806
7.676167,43.78
7.676167,43.779139
7.675722,43.77875
7.668222,43.778778
7.667417,43.779556
7.663222,43.779556
7.662417,43.780417
7.661556,43.780417
7.659944,43.782111
7.654111,43.782083
7.653222,43.782889
7.650778,43.782917
7.649889,43.78375
7.645694,43.78375
7.644889,43.784611
7.639056,43.784583
7.63825,43.785389
7.633194,43.785389
7.632389,43.786222
7.629056,43.78625
7.628167,43.787028
7.624083,43.787111
7.623194,43.787889
7.617417,43.787944
7.616528,43.788722
7.610778,43.788722
7.609889,43.789556
7.609111,43.789556
7.608222,43.790389
7.604889,43.790417
7.604083,43.791194
7.600778,43.791278
7.599889,43.792083
7.599111,43.792111
7.59825,43.79125
7.596583,43.791222
7.595778,43.792083
7.594889,43.792056
7.594111,43.792917
7.590722,43.792944
7.589917,43.793722
7.577361,43.793722
7.576556,43.794583
7.573222,43.794611
7.572389,43.793722
7.569056,43.79375
7.566528,43.79125
7.565722,43.79125
7.564889,43.790389
7.563222,43.790417
7.562389,43.789611
7.560722,43.789583
7.560333,43.789167
7.560361,43.788333
7.559056,43.787056
7.558222,43.787083
7.557806,43.786639
7.557861,43.784167
7.555778,43.782083
7.554111,43.782056
7.553639,43.782528
7.553583,43.783306
7.553194,43.783722
7.552417,43.78375
7.551556,43.782944
7.54825,43.782917
7.546556,43.784611
7.545778,43.784583
7.544889,43.785444
7.541556,43.785389
7.540722,43.784583
7.539917,43.784583
7.539083,43.783694
7.527389,43.783722
7.526583,43.784583
7.514917,43.784583
7.514056,43.783722
7.51075,43.78375
7.508667,43.781667
7.508639,43.78
7.509028,43.779556
7.509917,43.779556
7.510306,43.779167
7.510278,43.7775
7.509889,43.777083
7.509111,43.777083
7.50825,43.776222
7.504083,43.776222
7.503222,43.775417
7.500778,43.775444
7.49825,43.772889
7.497361,43.772861
7.494056,43.769556
7.493194,43.769556
7.492417,43.76875
7.491556,43.76875
7.487389,43.764556
7.486611,43.764611
7.483611,43.761667
7.483694,43.758333
7.486611,43.755417
7.487389,43.755417
7.487806,43.755028
7.487806,43.751639
7.486583,43.750444
7.481528,43.750417
7.480722,43.751222
7.479056,43.75125
7.47825,43.752083
7.474083,43.752111
7.472444,43.753722
7.471583,43.753778
7.468667,43.756667
7.468639,43.7575
7.46825,43.757917
7.467389,43.757889
7.466556,43.75875
7.465694,43.758722
7.464083,43.760417
7.462417,43.760389
7.461611,43.76125
7.454917,43.761278
7.454056,43.760389
7.452389,43.760444
7.452028,43.760028
7.451972,43.759167
7.451111,43.758306
7.451139,43.7575
7.449917,43.756222
7.449028,43.756222
7.448278,43.755417
7.447417,43.755389
7.446528,43.754583
7.445778,43.754583
7.443222,43.752083
7.442444,43.752083
7.441583,43.75125
7.440722,43.75125
7.440333,43.750833
7.440361,43.749972
7.439917,43.749583
7.439028,43.749556
7.437417,43.747889
7.436556,43.747861
7.43575,43.748722
7.432444,43.748722
7.430278,43.746694
7.430333,43.741667
7.429944,43.741278
7.429083,43.74125
7.428222,43.740389
7.427361,43.740361
7.426528,43.739556
7.423222,43.739583
7.422444,43.73875
7.421583,43.73875
7.421111,43.738333
7.421139,43.737472
7.422361,43.73625
7.423167,43.737056
7.426583,43.737111
7.427806,43.735861
7.427833,43.735
7.424056,43.731222
7.422417,43.731222
7.421528,43.732056
7.420722,43.732056
7.419917,43.732889
7.417389,43.732917
7.416556,43.732111
7.41575,43.732083
7.408611,43.725028
7.408639,43.724167
7.406556,43.722083
7.389056,43.722111
7.387833,43.723361
7.387833,43.724167
7.386611,43.725389
7.38575,43.724583
7.380722,43.724556
7.37825,43.722083
7.377389,43.722056
7.375694,43.720389
7.374917,43.720417
7.374083,43.719556
7.370722,43.719556
7.369056,43.721194
7.368278,43.72125
7.367389,43.722028
7.366583,43.722083
7.364889,43.723722
7.36325,43.72375
7.362333,43.724583
7.361556,43.724583
7.360722,43.723778
7.356611,43.723778
7.355778,43.722889
7.354917,43.722889
7.354056,43.722083
7.352389,43.722111
7.352028,43.721639
7.351972,43.720833
7.351111,43.720028
7.351167,43.718306
7.350778,43.717917
7.349917,43.717944
7.349083,43.717083
7.346556,43.717111
7.345694,43.71625
7.344889,43.716222
7.344083,43.715417
7.342417,43.715444
7.341583,43.714583
7.339917,43.714556
7.339083,43.71375
7.338194,43.713722
7.337444,43.712917
7.336583,43.712889
7.335361,43.711611
7.335278,43.708306
7.332444,43.705417
7.331583,43.705389
7.330361,43.704167
7.330333,43.701667
7.33075,43.701278
7.331583,43.701222
7.331944,43.700833
7.331972,43.700028
7.332861,43.699194
7.332806,43.695
7.334917,43.692917
7.336583,43.692889
7.337389,43.692111
7.339917,43.692083
7.341611,43.690389
7.34325,43.690417
7.344028,43.691278
7.346556,43.691194
7.347361,43.690417
7.348222,43.690417
7.348722,43.689972
7.348667,43.689167
7.348278,43.688778
7.347417,43.68875
7.346556,43.687889
7.344889,43.687917
7.344056,43.687056
7.343194,43.687028
7.341583,43.685417
7.340806,43.685389
7.338222,43.687944
7.337444,43.687056
7.336583,43.687056
7.336167,43.6875
7.336139,43.688306
7.334944,43.689611
7.334472,43.689139
7.334528,43.681639
7.332444,43.679556
7.331583,43.679611
7.33075,43.67875
7.329083,43.678722
7.32825,43.677889
7.324083,43.677889
7.322861,43.679139
7.322861,43.684167
7.321167,43.685806
7.321167,43.689167
7.318639,43.691667
7.318667,43.694167
7.320333,43.695806
7.320306,43.696667
7.320694,43.697111
7.321528,43.697083
7.324472,43.699972
7.322861,43.701667
7.322833,43.702472
7.322417,43.702917
7.320778,43.702889
7.319972,43.70375
7.319083,43.703778
7.318611,43.704167
7.318667,43.7075
7.317472,43.708722
7.313278,43.708722
7.311139,43.706639
7.311194,43.704194
7.309889,43.702917
7.308222,43.702944
7.307389,43.702056
7.306611,43.702056
7.306139,43.701639
7.307028,43.700861
7.306944,43.698333
7.307833,43.6975
7.307806,43.693333
7.307028,43.6925
7.306972,43.691667
7.306139,43.690833
7.306167,43.689972
7.305778,43.689583
7.304917,43.689556
7.304083,43.68875
7.299111,43.688722
7.298222,43.689583
7.297444,43.688778
7.294056,43.688722
7.29325,43.689556
7.292444,43.689556
7.291972,43.69
7.291972,43.693306
7.289944,43.695417
7.289056,43.695444
7.28825,43.696222
7.284944,43.69625
7.284472,43.696639
7.2845,43.698361
7.284083,43.69875
7.283222,43.698722
7.280778,43.696222
7.276583,43.696278
7.275778,43.697083
7.274917,43.697056
7.274111,43.697917
7.26575,43.697889
7.264917,43.697083
7.259944,43.697056
7.259111,43.69625
7.254917,43.69625
7.254083,43.695444
7.250778,43.695444
7.249944,43.694556
7.248194,43.694556
7.247444,43.693722
7.245778,43.69375
7.244944,43.692889
7.244083,43.692944
7.242389,43.69125
7.240722,43.691222
7.239972,43.690417
7.239111,43.690389
7.23825,43.689583
7.236611,43.689556
7.231167,43.684167
7.231194,43.683306
7.2295,43.681667
7.229528,43.678306
7.231139,43.676667
7.231194,43.675
7.230361,43.674139
7.230306,43.673333
7.229917,43.672944
7.229056,43.672917
7.227361,43.67125
7.226583,43.671222
7.224889,43.669611
7.224111,43.669583
7.218694,43.664194
7.218639,43.663333
7.217028,43.661639
7.216972,43.660833
7.216583,43.660444
7.215806,43.660417
7.215333,43.660028
7.215361,43.659167
7.213306,43.657056
7.212444,43.657056
7.211583,43.65625
7.210722,43.656222
7.209889,43.655417
7.202417,43.655417
7.202,43.655861
7.202028,43.657472
7.201222,43.658306
7.201167,43.659167
7.200306,43.66
7.200361,43.663333
7.199472,43.664167
7.1995,43.665833
7.197861,43.667528
7.197833,43.668306
7.196944,43.669167
7.197,43.670028
7.196194,43.670861
7.196139,43.672472
7.195333,43.673306
7.195361,43.674972
7.194556,43.675806
7.1945,43.677528
7.192806,43.679167
7.192861,43.679972
7.192028,43.680806
7.192,43.681667
7.191111,43.6825
7.191194,43.685028
7.190306,43.685861
7.190278,43.686667
7.189056,43.687917
7.187417,43.687944
7.186944,43.687528
7.187,43.685806
7.187806,43.685028
7.187833,43.681639
7.188639,43.680861
7.188639,43.68
7.190306,43.678306
7.190361,43.676667
7.1895,43.675833
7.190722,43.674556
7.192444,43.674583
7.193667,43.673333
7.193639,43.671667
7.195361,43.67
7.195306,43.669139
7.196194,43.668333
7.196194,43.665833
7.197,43.664972
7.197056,43.663333
7.197861,43.662472
7.197889,43.659167
7.196583,43.657889
7.195806,43.657889
7.195333,43.657472
7.195361,43.656667
7.194056,43.655389
7.189083,43.655417
7.188278,43.656222
7.18575,43.656222
7.184917,43.655417
7.182389,43.655444
7.181556,43.654556
7.177472,43.654611
7.176583,43.655389
7.175778,43.655444
7.174889,43.656222
7.174111,43.656278
7.173222,43.657056
7.172417,43.657111
7.171528,43.657889
7.169889,43.657917
7.169083,43.658778
7.164889,43.65875
7.164056,43.657889
7.161611,43.657917
7.160694,43.657083
7.159056,43.657056
7.158278,43.65625
7.157389,43.65625
7.156583,43.655417
7.155778,43.655417
7.152417,43.652028
7.151556,43.652083
7.151167,43.651667
7.151194,43.650806
7.15075,43.650417
7.149944,43.650389
7.1495,43.65
7.149528,43.649194
7.148222,43.647917
7.147444,43.647889
7.146972,43.6475
7.147,43.646639
7.146611,43.646222
7.14575,43.646278
7.141167,43.641694
7.141111,43.640833
7.139528,43.639139
7.139472,43.638333
7.138611,43.637528
7.138639,43.636667
7.137806,43.635861
7.137833,43.635
7.136139,43.633361
7.136139,43.631639
7.135278,43.630833
7.135306,43.629972
7.134556,43.629167
7.1345,43.628361
7.133667,43.6275
7.133722,43.625833
7.132861,43.624972
7.132806,43.624167
7.131222,43.622472
7.131111,43.620806
7.130361,43.62
7.130361,43.619139
7.129528,43.618278
7.129472,43.617472
7.128611,43.616667
7.128694,43.615
7.127861,43.614139
7.127806,43.613278
7.127028,43.612528
7.126972,43.606639
7.126139,43.605806
7.126194,43.601639
7.127,43.600861
7.127,43.595833
7.128222,43.594583
7.129083,43.594556
7.1295,43.594139
7.129556,43.5925
7.127417,43.590389
7.121583,43.590361
7.121139,43.59
7.121194,43.5875
7.121528,43.587056
7.122389,43.587056
7.123222,43.586222
7.124861,43.58625
7.12575,43.585389
7.126556,43.585417
7.127833,43.586639
7.127806,43.5875
7.129028,43.588722
7.129889,43.588722
7.130389,43.588333
7.130333,43.587472
7.1295,43.586667
7.129528,43.585806
7.128667,43.585
7.128611,43.584139
7.127778,43.583306
7.127806,43.582528
7.127056,43.581639
7.126944,43.58
7.124889,43.577889
7.124111,43.577889
7.123639,43.577472
7.124444,43.576639
7.124472,43.575833
7.126583,43.57375
7.127389,43.57375
7.128278,43.572917
7.13825,43.572917
7.138667,43.572444
7.138722,43.570806
7.13825,43.570389
7.137389,43.570389
7.137,43.569972
7.136972,43.568306
7.137861,43.567472
7.137806,43.564139
7.135306,43.561667
7.135333,43.560861
7.134861,43.560389
7.134083,43.560389
7.132778,43.559167
7.132806,43.558306
7.134111,43.557056
7.136611,43.557111
7.137444,43.557917
7.13825,43.557861
7.139083,43.55875
7.140722,43.558722
7.143667,43.555833
7.143694,43.554139
7.14325,43.553722
7.141583,43.55375
7.140306,43.552472
7.140333,43.551667
7.138639,43.55
7.138667,43.549139
7.137361,43.547917
7.135722,43.547889
7.134972,43.547083
7.127417,43.547056
7.127,43.5475
7.126972,43.548306
7.126583,43.54875
7.122417,43.54875
7.121111,43.547472
7.121194,43.545
7.119889,43.543722
7.119083,43.544583
7.118306,43.544556
7.117806,43.544944
7.117806,43.547472
7.116583,43.548722
7.114083,43.548722
7.113667,43.549167
7.113639,43.549972
7.115333,43.551667
7.115306,43.552472
7.117444,43.554556
